Feature,Coefficient,Abs_Coefficient
weekday_0,-4.0918926895288856e+16,4.0918926895288856e+16
weekday_6,-4.091892689528838e+16,4.091892689528838e+16
weekday_1,-2.4081558320797896e+16,2.4081558320797896e+16
weekday_2,-2.4081558320797892e+16,2.4081558320797892e+16
weekday_4,-2.4081558320797776e+16,2.4081558320797776e+16
weekday_3,-2.4081558320797772e+16,2.4081558320797772e+16
weekday_5,-2.4081558320797708e+16,2.4081558320797708e+16
holiday,-1.683736857449128e+16,1.683736857449128e+16
workingday,-1.6837368574490706e+16,1.6837368574490706e+16
season_1,-8087984071623153.0,8087984071623153.0
season_2,-8087984071622121.0,8087984071622121.0
season_3,-8087984071622088.0,8087984071622088.0
season_4,-8087984071621417.0,8087984071621417.0
weathersit_1,1456289938349523.0,1456289938349523.0
weathersit_2,1456289938349024.8,1456289938349024.8
